modules,Biomass,Nr_shoots,Shoots_with_ear,Shoots_without_ear,Nr_ears,Full_ear,Half_ear,Weight_ear,Nr_seeds,Mature_seeds,Poor_seeds,all.seeds.weight,TKW,Digital.Biomass,Height,M.Height,leaf_angle,LA,LAI,LAP,LIc,LPD,d13C,Carbon.discrimination,iWUE
MEhoneydew1,0.008941157,0.922688063,0.273817885,6.82E-17,0.769640318,0.43812086,0.972705036,0.349167948,0.068612112,0.117041842,4.58E-05,0.002256571,7.06E-16,0.316833944,0.369454226,0.008805151,0.000123838,0.937430524,0.936007472,0.537563892,0.002689573,0.019972667,0.861713667,0.860659326,0.860659327
MEmediumpurple1,0.167007613,0.01308907,0.000317061,0.000895855,7.93E-05,0.06645778,4.23E-06,0.309145317,0.546384129,0.499212281,0.004978462,0.456507944,0.04807541,0.064351128,0.021419196,0.003007596,1.08E-11,0.468207251,0.46653448,0.817022358,1.55E-10,0.046201029,0.255552564,0.257018677,0.257018678
MElightsteelblue,5.91E-28,4.55E-32,1.49E-43,1.05E-56,9.29E-43,5.44E-51,9.68E-07,3.51E-60,7.51E-58,4.47E-58,0.001581851,1.29E-67,4.40E-37,4.18E-27,1.21E-09,4.39E-08,6.53E-14,1.21E-28,1.15E-28,1.12E-26,1.25E-13,8.30E-06,8.71E-72,9.37E-72,9.37E-72
MEsienna3,2.89E-09,2.21E-05,0.004020644,0.002938634,0.002171494,1.47E-08,3.59E-13,4.56E-09,4.76E-09,3.83E-09,0.224078707,5.70E-12,9.56E-14,3.88E-11,5.13E-16,6.43E-19,0.112228981,2.47E-08,2.49E-08,4.18E-09,0.176976003,3.39E-25,4.33E-09,4.30E-09,4.30E-09
MEdarkolivegreen,3.00E-31,3.63E-15,1.74E-16,4.29E-21,7.03E-16,3.19E-18,0.559862867,3.78E-18,9.83E-14,1.08E-13,0.046797027,1.13E-26,2.25E-38,7.80E-58,4.48E-53,3.62E-45,0.191334242,8.55E-47,8.86E-47,7.36E-37,0.484132031,1.96E-42,4.66E-17,4.68E-17,4.68E-17
MElightskyblue3,3.11E-65,6.25E-48,6.93E-53,1.68E-31,7.56E-53,8.02E-55,1.26E-07,3.16E-45,4.01E-38,1.29E-37,3.46E-07,9.49E-42,8.00E-06,4.31E-88,2.30E-70,7.57E-63,2.08E-05,4.84E-83,4.92E-83,9.12E-64,4.97E-08,7.67E-51,6.79E-49,6.66E-49,6.66E-49
MEdarkred,1.32E-250,9.01E-209,4.01E-165,4.60E-21,5.99E-186,8.05E-241,3.87E-46,3.41E-188,5.90E-161,4.68E-156,2.18E-20,4.64E-171,1.77E-12,2.29E-192,3.35E-106,5.81E-113,5.33E-28,1.43E-182,1.97E-182,8.07E-149,9.79E-28,1.38E-79,1.95E-163,1.70E-163,1.70E-163
MEfirebrick4,1.63E-38,7.63E-51,6.25E-40,1.89E-13,4.44E-40,4.33E-51,2.90E-48,1.58E-48,5.31E-49,7.76E-54,6.65E-21,2.94E-53,0.055480196,7.10E-57,2.41E-78,7.94E-75,2.18E-23,9.66E-43,1.07E-42,3.79E-37,2.61E-21,7.40E-53,5.85E-55,6.01E-55,6.01E-55
MElavenderblush3,0.069301014,0.00600932,6.63E-05,1.45E-06,7.22E-05,2.39E-05,0.000490119,1.77E-07,2.50E-08,9.84E-09,0.118258525,8.13E-10,0.004017795,0.003835143,7.99E-05,0.015215796,3.25E-11,0.001041147,0.001050002,0.003097498,4.97E-08,0.000778792,7.58E-12,7.60E-12,7.60E-12
MEwheat3,9.88E-19,1.26E-15,3.61E-17,2.47E-05,8.16E-19,1.91E-15,0.069274225,5.46E-13,2.83E-12,3.13E-12,0.045399251,1.47E-12,0.735312916,1.30E-26,4.17E-41,1.89E-35,5.35E-13,1.88E-31,2.00E-31,4.25E-37,1.76E-12,7.47E-38,4.68E-07,4.43E-07,4.43E-07
MEdarkmagenta,0.004151767,0.046532153,0.071205949,2.17E-05,0.046507594,0.338571518,2.35E-08,0.96729245,0.487870706,0.384411023,0.000253898,0.604207417,0.026751267,0.011830411,0.957452666,0.938706399,4.63E-41,0.001407565,0.001406205,9.10E-05,1.40E-37,0.477558905,0.064985059,0.065825447,0.065825448
MElightpink4,1.27E-06,1.83E-05,3.55E-07,3.33E-23,7.94E-08,1.83E-05,2.48E-05,6.57E-05,0.002016168,0.002514992,0.022898737,3.15E-05,1.76E-09,2.90E-09,2.74E-05,0.007093098,2.01E-33,1.79E-12,1.82E-12,4.50E-15,8.68E-37,0.002730692,0.005168234,0.005060656,0.005060656
MEnavajowhite4,0.010233928,3.13E-06,5.56E-05,0.167877843,6.45E-05,0.024018071,3.71E-12,0.481097699,0.829541269,0.575383697,1.71E-09,0.273363542,0.006356031,0.701710398,0.047443411,0.019656944,5.16E-35,0.822736437,0.818622444,0.303897258,4.14E-36,0.052193387,0.027277327,0.027937049,0.02793705
MEcoral4,0.196257768,0.70477366,0.657806778,0.000295268,0.990492018,0.851066081,0.001709062,0.080986305,0.004310597,0.007837062,0.000546887,0.314267815,0.22534504,0.010872359,1.55E-10,1.41E-07,1.08E-12,0.164395645,0.166468605,0.579463993,3.60E-07,3.18E-20,0.039663221,0.0398112,0.039811201
MEdarkseagreen,4.75E-07,0.037531165,0.731040859,2.34E-07,0.660367968,0.196951989,0.001570294,0.11492171,0.000606934,0.001055619,6.88E-06,0.64494199,0.000136768,0.01383716,0.045728946,0.407359967,4.82E-17,0.000527743,0.000513298,0.000316764,1.76E-11,2.58E-06,0.000515581,0.000515843,0.000515843
